Name,SpeciesTag,SpeciesName,SpeciesTitle,LoreDescription,PrimaryElement,ElementalAffinities,Role,BaseMaxHealth,BaseAttackPower,BaseDefensePower,BaseWalkSpeed,BaseRunSpeed,CaptureDifficultyModifier,PassiveTraitTags,WorkSuitabilityTags,PartnerSkillTag,MountProfileId,bCanBeMounted,BreedingGroupId,EvolutionTargetId,EvolutionLevel,DexOrder
Echo_Lambit,Echo.Lambit,Lambit,Meadow Listener,A small dusk-eared Echo that senses safe paths before danger appears.,Neutral,"(Neutral)",Exploration,110,16,12,260,520,0.85,"(Trait.Calm,Trait.Scout)","(Work.Gathering)",Partner.Pathfinder,Mount.None,false,Beast,Species.Dawnling,18,1
Echo_Dawnling,Echo.Dawnling,Dawnling,Sunstep Forager,A bright-footed Echo that stores dawn warmth in its feathered crest.,Solar,"(Solar,Neutral)",BaseUtility,125,18,14,270,540,0.9,"(Trait.Cheerful,Trait.HeatResistant)","(Work.Farming,Work.Gathering)",Partner.Sunbeam,Mount.None,false,Beast,Species.Pyrelite,20,2
Echo_Pyrelite,Echo.Pyrelite,Pyrelite,Kindled Runner,A quick ember-coated Echo whose sparks light forgotten trail markers.,Solar,"(Solar)",Combat,160,28,16,300,640,1.0,"(Trait.Brave,Trait.HeatResistant)","(Work.Kindling,Work.Farming)",Partner.EmberRush,Mount.PyreliteRunner,true,Beast,Species.Cinderclaw,24,3
Echo_Thornback,Echo.Thornback,Thornback,Rootbound Bulwark,A sturdy moss-backed Echo that anchors itself against storms and raiders.,Geo,"(Geo)",Combat,230,24,30,190,420,1.15,"(Trait.Sturdy,Trait.Guardian)","(Work.Mining,Work.Building)",Partner.Barkguard,Mount.ThornbackHauler,true,Beast,Species.Brambletusk,28,4
Echo_Aquavine,Echo.Aquavine,Aquavine,Canopy Spring,A vine-tailed Echo that carries clean water through the rainforest canopy.,Torrent,"(Torrent,Geo)",BaseUtility,145,20,18,250,500,0.95,"(Trait.Gentle,Trait.Hydrated)","(Work.Watering,Work.Gathering)",Partner.MistVeil,Mount.AquavineSkimmer,true,Beast,Species.Tidehorn,26,5
Echo_Sparkfin,Echo.Sparkfin,Sparkfin,Static Minnow,A river Echo that charges its fins against crystal reeds before a storm.,Volt,"(Volt,Torrent)",Exploration,130,25,13,330,680,1.0,"(Trait.Alert,Trait.Overclock)","(Work.Generating,Work.Watering)",Partner.StaticPulse,Mount.None,false,Amphibian,Species.Stormshell,30,6
Echo_Torrentail,Echo.Torrentail,Torrentail,Watercoil Stalker,A patient aquatic hunter that folds its body into a silent current.,Torrent,"(Torrent,Abyssal)",Combat,185,31,20,260,560,1.1,"(Trait.Patient,Trait.Ambusher)","(Work.Watering,Work.Cooling)",Partner.RiptideLatch,Mount.TorrentailSkimmer,true,Amphibian,Species.Miremaw,32,7
Echo_Verdantor,Echo.Verdantor,Verdantor,Greenward Keeper,A tall forest Echo that coaxes edible leaves from mineral soil.,Geo,"(Geo,Astra)",BaseUtility,210,22,27,180,400,1.2,"(Trait.Nurturing,Trait.Rooted)","(Work.Farming,Work.Medicine)",Partner.VerdantRenewal,Mount.None,false,Flora,Species.Nightbloom,34,8
Echo_Cinderclaw,Echo.Cinderclaw,Cinderclaw,Caldera Striker,A volcanic Echo whose claws turn cooled obsidian into useful tools.,Solar,"(Solar,Geo)",Combat,240,38,22,240,580,1.25,"(Trait.Fierce,Trait.HeatResistant)","(Work.Kindling,Work.Mining)",Partner.MagmaArc,Mount.CinderclawBreaker,true,Beast,Species.Ignisaur,36,9
Echo_Terradon,Echo.Terradon,Terradon,Plateau Hauler,A broad-shouldered Echo that moves stone without disturbing the ground beneath.,Geo,"(Geo)",BaseUtility,300,30,38,170,380,1.3,"(Trait.Patient,Trait.Sturdy)","(Work.Mining,Work.Building)",Partner.FaultLine,Mount.TerradonCarrier,true,Beast,,40,10
