Name,RecipeTag,DisplayName,Description,IngredientTags,IngredientQuantities,OutputItemTag,OutputQuantity,CraftTimeSeconds,RequiredStation,RequiredTechnologyTag
Recipe_001_Foundation,Recipe.Foundation,Sunwood Foundation,Sturdy starter foundation.,"(Item.Resource.Sunwood,Item.Resource.LumenStone)","(8,4)",Item.Building.Foundation,1,2.0,None,Tech.BasicShelter
Recipe_002_Wall,Recipe.Wall,Sunwood Wall,Protective camp wall.,"(Item.Resource.Sunwood,Item.Resource.Fiber)","(6,3)",Item.Building.Wall,1,1.5,None,Tech.BasicShelter
Recipe_003_Roof,Recipe.Roof,Sunwood Roof,Weatherproof camp roof.,"(Item.Resource.Sunwood,Item.Resource.Fiber)","(6,4)",Item.Building.Roof,1,1.5,None,Tech.BasicShelter
Recipe_004_SleepingRoll,Recipe.SleepingRoll,Sleeping Roll,Sets a temporary respawn anchor.,"(Item.Resource.Fiber,Item.Resource.Sunwood)","(12,4)",Item.Equipment.SleepingRoll,1,2.0,None,Tech.BasicShelter
Recipe_005_Campfire,Recipe.Campfire,Campfire,Provides heat and cooks simple food.,"(Item.Resource.Sunwood,Item.Resource.LumenStone)","(10,6)",Item.Building.Campfire,1,3.0,None,Tech.Campfire
Recipe_006_CookedRation,Recipe.CookedRation,Cooked Ration,A reliable survival meal.,"(Item.Resource.RawMeat,Item.Resource.Fiber)","(2,1)",Item.Consumable.CookedRation,1,4.0,Campfire,Tech.Campfire
Recipe_007_StonePick,Recipe.StonePick,Stone Pick,Harvests stone and crystal.,"(Item.Resource.Sunwood,Item.Resource.LumenStone)","(5,3)",Item.Tool.StonePick,1,2.0,None,Tech.StoneTools
Recipe_008_StoneHatchet,Recipe.StoneHatchet,Stone Hatchet,Harvests sunwood and fiber.,"(Item.Resource.Sunwood,Item.Resource.LumenStone)","(5,3)",Item.Tool.StoneHatchet,1,2.0,None,Tech.StoneTools
Recipe_009_ClothTunic,Recipe.ClothTunic,Cloth Tunic,Light insulation for early exploration.,"(Item.Resource.Fiber,Item.Resource.Herb)","(12,2)",Item.Equipment.ClothTunic,1,3.0,CraftingBench,Tech.ClothGear
Recipe_010_FieldBandage,Recipe.FieldBandage,Field Bandage,Restores health over a short interval.,"(Item.Resource.Fiber,Item.Resource.Herb)","(5,3)",Item.Consumable.FieldBandage,2,2.0,None,Tech.ClothGear
Recipe_011_CopperPick,Recipe.CopperPick,Copper Pick,A durable mineral harvesting tool.,"(Item.Resource.CopperIngot,Item.Resource.Sunwood)","(4,2)",Item.Tool.CopperPick,1,4.0,CraftingBench,Tech.CopperWorking
Recipe_012_CopperWire,Recipe.CopperWire,Copper Wire,Conductive component for powered stations.,"(Item.Resource.CopperIngot)","(2)",Item.Component.CopperWire,4,2.0,CraftingBench,Tech.CopperWorking
Recipe_013_ResonatorMk2,Recipe.ResonatorMk2,Resonator Mk2,Improved Echo capture hardware.,"(Item.Resource.AstraShard,Item.Component.CopperWire,Item.Resource.LumenStone)","(5,4,5)",Item.Tool.AstraResonatorEnhanced,1,5.0,CraftingBench,Tech.ResonatorUpgrade
Recipe_014_CraftingBench,Recipe.CraftingBench,Crafting Bench,Intermediate crafting station.,"(Item.Resource.Sunwood,Item.Resource.LumenStone,Item.Resource.CopperIngot)","(12,8,4)",Item.Building.CraftingBench,1,5.0,None,Tech.CraftingBench
Recipe_015_WaterFilter,Recipe.WaterFilter,Water Filter,Turns gathered water into safe hydration.,"(Item.Resource.Fiber,Item.Resource.Sand,Item.Resource.CopperIngot)","(8,6,2)",Item.Building.WaterFilter,1,5.0,CraftingBench,Tech.WaterPurification
Recipe_016_WaterCanteen,Recipe.WaterCanteen,Water Canteen,Portable hydration storage.,"(Item.Resource.Fiber,Item.Resource.Leather)","(8,2)",Item.Equipment.WaterCanteen,1,3.0,CraftingBench,Tech.WaterPurification
Recipe_017_FarmPlot,Recipe.FarmPlot,Farm Plot,Small crop plot for colony food.,"(Item.Resource.Sunwood,Item.Resource.Fiber,Item.Resource.Herb)","(10,6,2)",Item.Building.FarmPlot,1,4.0,None,Tech.FarmPlot
Recipe_018_SeedPack,Recipe.SeedPack,Seed Pack,Starter seeds for farming.,"(Item.Resource.Herb,Item.Resource.Fiber)","(3,1)",Item.Consumable.SeedPack,3,2.0,None,Tech.FarmPlot
Recipe_019_SaddleKit,Recipe.SaddleKit,Saddle Kit,Mount harness for compatible Echoes.,"(Item.Resource.Leather,Item.Resource.Fiber,Item.Resource.CopperIngot)","(8,6,2)",Item.Equipment.SaddleKit,1,5.0,CraftingBench,Tech.SaddleCraft
Recipe_020_BreedingPen,Recipe.BreedingPen,Breeding Pen,Safe station for paired Echoes.,"(Item.Resource.Sunwood,Item.Resource.LumenStone,Item.Resource.Fiber)","(24,12,12)",Item.Building.BreedingPen,1,8.0,None,Tech.BreedingPen
Recipe_021_Incubator,Recipe.Incubator,Incubator,Maintains egg temperature during incubation.,"(Item.Resource.CopperIngot,Item.Component.CopperWire,Item.Resource.Crystal)","(8,6,4)",Item.Building.Incubator,1,8.0,CraftingBench,Tech.BreedingPen
Recipe_022_AstraSteelIngot,Recipe.AstraSteelIngot,Astra Steel Ingot,Refined alloy for advanced equipment.,"(Item.Resource.IronOre,Item.Resource.AstraShard,Item.Resource.Coal)","(4,2,3)",Item.Resource.AstraSteelIngot,1,6.0,Campfire,Tech.AstraSteel
Recipe_023_AstraSteelPlate,Recipe.AstraSteelPlate,Astra Steel Plate,Structural alloy plate.,"(Item.Resource.AstraSteelIngot)","(3)",Item.Component.AstraSteelPlate,1,6.0,CraftingBench,Tech.AstraSteel
Recipe_024_SanctuaryCore,Recipe.SanctuaryCore,Sanctuary Core,Stabilizes workers and storage routing.,"(Item.Resource.AstraShard,Item.Component.AstraSteelPlate,Item.Component.CopperWire)","(8,4,8)",Item.Building.SanctuaryCore,1,10.0,CraftingBench,Tech.SanctuaryCore
Recipe_025_Reedbow,Recipe.Reedbow,Reedbow,Quiet starter ranged weapon.,"(Item.Resource.Sunwood,Item.Resource.Fiber)","(8,4)",Item.Weapon.Reedbow,1,4.0,CraftingBench,Tech.BasicBow
Recipe_026_PracticeArrow,Recipe.PracticeArrow,Practice Arrow,Simple ranged ammunition.,"(Item.Resource.Sunwood,Item.Resource.Stone)","(2,1)",Item.Ammo.PracticeArrow,8,2.0,CraftingBench,Tech.BasicBow
Recipe_027_SolarArrow,Recipe.SolarArrow,Solar Arrow,Flare-tipped elemental arrow.,"(Item.Ammo.PracticeArrow,Item.Resource.SolarCore)","(4,1)",Item.Ammo.SolarArrow,4,3.0,CraftingBench,Tech.ElementalAmmo
Recipe_028_TorrentBolt,Recipe.TorrentBolt,Torrent Bolt,Water-charged bolt for crossbows.,"(Item.Ammo.PracticeArrow,Item.Resource.TorrentCore)","(4,1)",Item.Ammo.TorrentBolt,4,3.0,CraftingBench,Tech.ElementalAmmo
Recipe_029_GeoShard,Recipe.GeoShard,Geo Shard,Stone-charged projectile head.,"(Item.Ammo.PracticeArrow,Item.Resource.GeoCore)","(4,1)",Item.Ammo.GeoShard,4,3.0,CraftingBench,Tech.ElementalAmmo
Recipe_030_HeatForge,Recipe.HeatForge,Heat Forge,Advanced station for refined alloys.,"(Item.Building.Campfire,Item.Resource.AstraSteelIngot,Item.Resource.LumenStone)","(1,6,10)",Item.Building.HeatForge,1,10.0,None,Tech.Forge
Recipe_031_RefinedIngot,Recipe.RefinedIngot,Refined Ingot,Consistent metal for advanced parts.,"(Item.Resource.IronOre,Item.Resource.Coal)","(5,2)",Item.Resource.RefinedIngot,2,7.0,StorageChest,Tech.Forge
Recipe_032_SortingChest,Recipe.SortingChest,Sorting Chest,Routes output tags to colony storage.,"(Item.Resource.Sunwood,Item.Component.CopperWire,Item.Resource.AstraShard)","(12,4,2)",Item.Building.SortingChest,1,8.0,CraftingBench,Tech.Automation
Recipe_033_WorkRelay,Recipe.WorkRelay,Work Relay,Extends colony work order range.,"(Item.Component.CopperWire,Item.Resource.AstraShard,Item.Component.AstraSteelPlate)","(6,3,2)",Item.Building.WorkRelay,1,8.0,CraftingBench,Tech.Automation
Recipe_034_SpireAttunementKit,Recipe.SpireAttunementKit,Spire Attunement Kit,Calibrates an ancient fast-travel spire.,"(Item.Resource.AstraShard,Item.Component.CopperWire,Item.Resource.Crystal)","(6,8,4)",Item.Quest.SpireAttunementKit,1,8.0,CraftingBench,Tech.SpireAttunement
Recipe_035_TowerKeySet,Recipe.TowerKeySet,Tower Key Set,Unlocks the five tower gates.,"(Item.Resource.AstraSteelIngot,Item.Resource.AstraShard,Item.Resource.Crystal)","(10,8,5)",Item.Quest.TowerKeySet,1,12.0,HeatForge,Tech.TowerKeys
Recipe_036_DawnArchive,Recipe.DawnArchive,Dawn Archive,Stores the First Dawn research record.,"(Item.Component.AstraSteelPlate,Item.Resource.AstraShard,Item.Resource.PureQuartz)","(6,12,4)",Item.Quest.DawnArchive,1,15.0,HeatForge,Tech.FirstDawnResearch
Recipe_037_MythicResonator,Recipe.MythicResonator,Mythic Resonator,High-risk capture equipment for mythic Echoes.,"(Item.Tool.AstraResonatorEnhanced,Item.Resource.AstraShard,Item.Resource.PureQuartz)","(1,20,8)",Item.Tool.MythicResonator,1,15.0,HeatForge,Tech.FirstDawnResearch
Recipe_038_StoneSpear,Recipe.StoneSpear,Stone Spear,Reach weapon for early defense.,"(Item.Resource.Sunwood,Item.Resource.Stone)","(6,4)",Item.Weapon.StoneSpear,1,2.5,None,Tech.StoneTools
Recipe_039_FiberNet,Recipe.FiberNet,Fiber Net,Nonlethal restraint for small Echoes.,"(Item.Resource.Fiber,Item.Resource.Sunwood)","(10,2)",Item.Tool.FiberNet,2,3.0,None,Tech.ClothGear
Recipe_040_LeatherPouch,Recipe.LeatherPouch,Leather Pouch,Adds small carry capacity.,"(Item.Resource.Leather,Item.Resource.Fiber)","(5,5)",Item.Equipment.LeatherPouch,1,3.0,CraftingBench,Tech.ClothGear
