Name,VehicleTag,DisplayName,Description,Category,VehicleType,MaxSpeedCentimetersPerSecond,BoostSpeedCentimetersPerSecond,MaxDepthMeters,CargoCapacityKilograms,PassengerSeatCount,Handling,FuelTypeTag,WeaponTags,UtilityTags,bCanHover,bCanSubmerge,bCanFly,bIsMobileBase
Vehicle_Hoverbike_Striker,Vehicle.Hoverbike.Striker,Striker,"High-speed single-pilot hoverbike with twin nitrous thrusters for ground and water traversal.",LandHover,HoverbikeStriker,2800.0,4500.0,0.0,40.0,1,1.25,Item.ElectricBattery,"(Weapon.DualFrontBlasters)","(Utility.NitrousBoost)",true,false,false,false
Vehicle_SandSkiff_DuneRider,Vehicle.SandSkiff.DuneRider,DuneRider,"Light wind-plasma skiff built for controlled drift across dunes and open plains.",LandHover,SandSkiffDuneRider,2200.0,3200.0,0.0,300.0,1,1.4,Item.PlasmaCell,"()","(Utility.DriftControl)",true,false,false,false
Vehicle_Monowheel_GyroStriker,Vehicle.Monowheel.GyroStriker,GyroStriker,"Armored single-wheel climber with a stabilized gyro core for steep mountain routes.",LandHover,MonowheelGyroStriker,2400.0,3100.0,0.0,120.0,1,1.05,Item.ElectricBattery,"(Weapon.DualLightMachineGun)","(Utility.GyroStabilizer)",false,false,false,false
Vehicle_Rover_AstraExplorer,Vehicle.Rover.AstraExplorer,AstraExplorer,"Six-wheel exploration rover with suspension, radar scanning and a mobile crafting trunk.",ArmoredRover,RoverAstraExplorer,1600.0,2100.0,0.0,1500.0,3,0.85,Item.BioFuel,"()","(Utility.RadarScanner,Utility.MobileWorkbench)",false,false,false,false
Vehicle_SiegeTank_TitanCrawler,Vehicle.SiegeTank.TitanCrawler,TitanCrawler,"Tracked siege vehicle designed to breach fortified gates and challenge armored world threats.",ArmoredRover,SiegeTankTitanCrawler,900.0,1200.0,0.0,800.0,3,0.65,Item.BioFuel,"(Weapon.HeavyGaussCannon)","(Utility.HeavyPlating)",false,false,false,false
Vehicle_MobileBase_MammothHauler,Vehicle.MobileBase.MammothHauler,MammothHauler,"Eight-wheel mobile base with a buildable flatbed, respawn bed, furnace and generator.",ArmoredRover,MobileBaseMammothHauler,800.0,1000.0,0.0,4000.0,6,0.45,Item.BioFuel,"()","(Utility.MobileRespawn,Utility.SmeltingFurnace,Utility.BatteryGenerator)",false,false,false,true
Vehicle_JetSki_HydroGlider,Vehicle.JetSki.HydroGlider,HydroGlider,"High-agility hydrofoil craft for wave jumps and rapid surface-water travel.",MarineSubmersible,JetSkiHydroGlider,3200.0,4400.0,0.0,120.0,1,1.5,Item.ElectricBattery,"()","(Utility.Hydrofoil)",false,false,false,false
Vehicle_MiniSub_Nautilus,Vehicle.MiniSub.Nautilus,Nautilus,"Pressurized two-person submersible with floodlights, sonar, ore claw and micro-torpedoes.",MarineSubmersible,MiniSubNautilus,1100.0,1500.0,1200.0,500.0,2,0.75,Item.ElectricBattery,"(Weapon.MicroTorpedo)","(Utility.DeepSonar,Utility.OreClaw,Utility.Floodlights)",false,true,false,false
Vehicle_BattleCruiser_AstraFrigate,Vehicle.BattleCruiser.AstraFrigate,AstraFrigate,"Multi-crew surface naval combat vessel with flak turrets and depth-charge rails.",MarineSubmersible,BattleCruiserAstraFrigate,1800.0,2200.0,80.0,2400.0,8,0.5,Item.BioFuel,"(Weapon.NavalCannon,Weapon.DepthCharge)","(Utility.SurfaceRadar)",false,true,false,false
Vehicle_Gyrocopter_Zephyr,Vehicle.Gyrocopter.Zephyr,Zephyr,"Ultralight dual-rotor autogyro for scouting, Echo spotting and aerial transport.",AtmosphericAircraft,GyrocopterZephyr,2400.0,3000.0,0.0,250.0,2,1.0,Item.ElectricBattery,"()","(Utility.EchoRadar)",false,false,true,false
Vehicle_VTOLExplorer_Skyhawk,Vehicle.VTOLExplorer.Skyhawk,Skyhawk,"Four-thruster VTOL gunship with rapid flight transition and guided rocket pods.",AtmosphericAircraft,VTOLExplorerSkyhawk,3800.0,5200.0,0.0,650.0,4,0.9,Item.PlasmaCell,"(Weapon.Gatling,Weapon.RocketPod)","(Utility.TargetingComputer)",false,false,true,false
Vehicle_Airship_SkyGalleon,Vehicle.Airship.SkyGalleon,SkyGalleon,"Anti-gravity mobile sky base with a top-deck landing pad and broadside cannons.",AtmosphericAircraft,AirshipSkyGalleon,1200.0,1500.0,0.0,5000.0,12,0.35,Item.AstraCore,"(Weapon.BroadsideCannon)","(Utility.FlyingMountPad,Utility.MobileBaseSystems)",true,false,true,true
