Name,RecipeTag,DisplayName,Description,IngredientTags,IngredientQuantities,OutputItemTag,OutputQuantity,HungerRestored,ThirstRestored,NutritionValue,SpoilageDurationSeconds,RefrigeratedSpoilageRate,BuffTag,BuffMagnitude,BuffDurationSeconds,RequiredStation
Cooking_01_SolarChili,Recipe.Cooking.SolarChili,Solar Chili,A warm pepper stew that preserves body heat.,"(Item.Berry,Item.SolarOrgan)","(2,1)",Item.Food.SolarChili,1,36,4,42,1200,0.1,Buff.ColdResistance,0.2,1200,HeatForge
Cooking_02_GlacialSorbet,Recipe.Cooking.GlacialSorbet,Glacial Sorbet,A crystal-cold dessert that cools an overheated traveler.,"(Item.FrostFruit,Item.GlacialOrgan)","(2,1)",Item.Food.GlacialSorbet,1,24,18,38,1200,0.1,Buff.HeatResistance,0.2,1200,Campfire
Cooking_03_AstraDumpling,Recipe.Cooking.AstraDumpling,Astra Dumpling,A compact high-energy meal for dangerous expeditions.,"(Item.Fiber,Item.AstraOrgan,Item.Grain)","(1,1,2)",Item.Food.AstraDumpling,1,48,8,56,900,0.1,Buff.AttackPowerAndStamina,0.3,900,HeatForge
Cooking_04_SanityCake,Recipe.Cooking.SanityCake,Sanity Cake,A calming cake required by advanced breeding farms.,"(Item.Berry,Item.Grain,Item.LumenShard)","(2,2,1)",Item.Food.SanityCake,1,32,10,50,1800,0.1,Buff.SANRecovery,50,900,HeatForge
Cooking_05_HerbalBroth,Recipe.Cooking.HerbalBroth,Herbal Broth,Steaming broth made from fragrant medicinal leaves.,"(Item.Herb,Item.Water)","(3,1)",Item.Food.HerbalBroth,1,28,18,34,1800,0.1,Buff.SANRecovery,18,600,Campfire
Cooking_06_EmberSkewer,Recipe.Cooking.EmberSkewer,Ember Skewer,Charred meat infused with a Solar ember.,"(Item.Meat,Item.SolarOrgan)","(2,1)",Item.Food.EmberSkewer,1,44,2,45,900,0.1,Buff.AttackPower,0.12,900,Campfire
Cooking_07_RainleafSalad,Recipe.Cooking.RainleafSalad,Rainleaf Salad,Crisp leaves and dew fruit harvested after rain.,"(Item.Leaf,Item.Berry,Item.Water)","(3,2,1)",Item.Food.RainleafSalad,1,26,22,40,900,0.1,Buff.WorkSpeed,0.15,900,Campfire
Cooking_08_StonegrainPorridge,Recipe.Cooking.StonegrainPorridge,Stonegrain Porridge,A dense porridge that steadies a miner's hands.,"(Item.Grain,Item.GeoOrgan)","(3,1)",Item.Food.StonegrainPorridge,1,40,6,44,1800,0.1,Buff.MiningEfficiency,0.2,1200,HeatForge
Cooking_09_VoltPickle,Recipe.Cooking.VoltPickle,Volt Pickle,"Charged vegetables with a bright, sharp bite.","(Item.Vegetable,Item.VoltOrgan,Item.Vinegar)","(2,1,1)",Item.Food.VoltPickle,2,18,12,26,2400,0.1,Buff.SprintRecovery,0.18,600,Campfire
Cooking_10_AbyssalStew,Recipe.Cooking.AbyssalStew,Abyssal Stew,A dark stew whose aroma keeps nocturnal predators away.,"(Item.Meat,Item.AbyssalOrgan,Item.Mushroom)","(2,1,2)",Item.Food.AbyssalStew,1,52,3,48,1200,0.1,Buff.FearResistance,0.25,900,HeatForge
